name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Silistra,55584,Valid,Achondrite-ung,0.15,Fell,1917,44.116670,27.266670,"(44.11667, 27.26667)"
Simmern,23603,Valid,H5,1222,Fell,1920,49.983330,7.533330,"(49.98333, 7.53333)"
Sinai,23606,Valid,L6,1455,Fell,1916,30.900000,32.483330,"(30.9, 32.48333)"
Sindhri,23611,Valid,H5,8400,Fell,1901,26.216670,69.550000,"(26.21667, 69.55)"
Sinnai,23613,Valid,H6,2000,Fell,1956,39.300000,9.200000,"(39.3, 9.2)"
Sioux County,23614,Valid,Eucrite-mmict,4100,Fell,1933,42.583330,-103.666670,"(42.58333, -103.66667)"
Sitathali,23616,Valid,H5,1600,Fell,1875,20.916670,82.583330,"(20.91667, 82.58333)"
Sivas,23617,Valid,H6,40000,Fell,1989,39.824670,36.135830,"(39.82467, 36.13583)"
Sixiangkou,23619,Valid,L5,630,Fell,1989,32.433330,119.866670,"(32.43333, 119.86667)"
Ski,23621,Valid,L6,850,Fell,1848,59.733330,10.866670,"(59.73333, 10.86667)"
Slavetic,23626,Valid,H5,1708,Fell,1868,45.683330,15.600000,"(45.68333, 15.6)"
Slobodka,23645,Valid,L4,2750,Fell,1818,55.000000,35.000000,"(55.0, 35.0)"
Soheria,23660,Valid,OC,72.900000000000006,Fell,1960,27.133330,84.066670,"(27.13333, 84.06667)"
Soko-Banja,23661,Valid,LL4,80000,Fell,1877,43.666670,21.866670,"(43.66667, 21.86667)"
Sologne,23663,Valid,H5,54,Fell,1860,47.366670,1.733330,"(47.36667, 1.73333)"
Sone,23667,Valid,H5,17100,Fell,1866,35.166670,135.333330,"(35.16667, 135.33333)"
Songyuan,23668,Valid,L6,36900,Fell,1993,45.250000,125.000000,"(45.25, 125.0)"
Sopot,23670,Valid,OC,958,Fell,1927,44.416670,23.500000,"(44.41667, 23.5)"
Soroti,23671,Valid,"Iron, ungrouped",2050,Fell,1945,1.700000,33.633330,"(1.7, 33.63333)"
St. Caprais-de-Quinsac,23081,Valid,L6,360,Fell,1883,44.750000,0.050000,"(44.75, 0.05)"
St. Christophe-la-Chartreuse,23082,Valid,L6,5500,Fell,1841,46.950000,-1.500000,"(46.95, -1.5)"
St. Denis Westrem,23083,Valid,L6,700,Fell,1855,51.050000,3.750000,"(51.05, 3.75)"
St. Germain-du-Pinel,23087,Valid,H6,4000,Fell,1890,48.016670,-1.150000,"(48.01667, -1.15)"
St. Louis,23089,Valid,H4,1000,Fell,1950,38.700000,-90.233330,"(38.7, -90.23333)"
"St. Mark's",23090,Valid,EH5,13780,Fell,1903,-32.016670,27.416670,"(-32.01667, 27.41667)"
"St. Mary's County",23091,Valid,LL3.3,24.3,Fell,1919,38.166670,-76.383330,"(38.16667, -76.38333)"
St. Mesmin,23092,Valid,LL6,8300,Fell,1866,48.450000,3.933330,"(48.45, 3.93333)"
St. Michel,23093,Valid,L6,17000,Fell,1910,61.650000,27.200000,"(61.65, 27.2)"
St.-Chinian,23097,Valid,L6,134.30000000000001,Fell,1959,43.433330,2.950000,"(43.43333, 2.95)"
Ställdalen,23712,Valid,H5,34000,Fell,1876,59.933330,14.950000,"(59.93333, 14.95)"
Stannern,23713,Valid,Eucrite-mmict,52000,Fell,1808,49.283330,15.566670,"(49.28333, 15.56667)"
Stavropol,23717,Valid,L6,1500,Fell,1857,45.050000,41.983330,"(45.05, 41.98333)"
Ste. Marguerite,23099,Valid,H4,4960,Fell,1962,50.766670,3.000000,"(50.76667, 3.0)"
Sterlitamak,23724,Valid,"Iron, IIIAB",325000,Fell,1990,53.666670,55.983330,"(53.66667, 55.98333)"
Stratford,23728,Valid,L6,50,Fell,1974,41.200000,-73.133330,"(41.2, -73.13333)"
Strathmore,23729,Valid,L6,13400,Fell,1917,56.583330,-3.250000,"(56.58333, -3.25)"
Stretchleigh,23732,Valid,Stone-uncl,10400,Fell,1623,50.383330,-3.950000,"(50.38333, -3.95)"
St-Robert,23733,Valid,H5,25400,Fell,1994,45.968610,-72.978060,"(45.96861, -72.97806)"
Success,23736,Valid,L6,3500,Fell,1924,36.483330,-90.666670,"(36.48333, -90.66667)"
Suchy Dul,23737,Valid,L6,815.3,Fell,1969,50.538060,16.263330,"(50.53806, 16.26333)"
Suizhou,23738,Valid,L6,260000,Fell,1986,31.616670,113.466670,"(31.61667, 113.46667)"
Sulagiri,48951,Valid,LL6,110000,Fell,2008,12.666670,78.033330,"(12.66667, 78.03333)"
Sultanpur,23741,Valid,L/LL6,1710.5,Fell,1916,25.933330,84.283330,"(25.93333, 84.28333)"
Sungach,23745,Valid,H5,637,Fell,1935,44.866670,133.166670,"(44.86667, 133.16667)"
Supuhee,23760,Valid,H6,7235,Fell,1865,26.716670,84.216670,"(26.71667, 84.21667)"
"Sutter's Mill",55529,Valid,C,992.5,Fell,2012,38.803890,-120.908060,"(38.80389, -120.90806)"
Sylacauga,23773,Valid,H4,5560,Fell,1954,33.188360,-86.294500,"(33.18836, -86.2945)"
Tabor,23776,Valid,H5,7540,Fell,1753,49.400000,14.650000,"(49.4, 14.65)"
Tadjera,23778,Valid,L5,9000,Fell,1867,36.183330,5.416670,"(36.18333, 5.41667)"
Tagish Lake,23782,Valid,C2-ung,10000,Fell,2000,59.704440,-134.201390,"(59.70444, -134.20139)"
Tahara,23784,Valid,H4/5,1000,Fell,1991,34.720000,137.305000,"(34.72, 137.305)"
Takenouchi,23789,Valid,H5,720,Fell,1880,35.383330,134.900000,"(35.38333, 134.9)"
